Cellule de veille pluridisciplinaire psychiatrie - ville de Meaux;1;"Psychiatrie
Meaux
Cellule de veille pluridisciplinaire
Synthèse";;Julie LANGLAIS;"La Cellule de Veille pluridisciplinaire pilotée par la Direction des Solidarités, a pour objectif de faciliter l’analyse de situations individuelles complexes de majeurs domiciliés sur Meaux, en souffrance psychique, dont l’accompagnement nécessite un regard croisé (médical, social et juridique).
  
Certains professionnels de la relation d’aide se retrouvent confrontés à des freins ne leur permettant pas de trouver des solutions adaptées dans le cadre de leur accompagnement et éviter les ruptures de parcours de soins des publics qu’ils accompagnent (difficultés pour l’accès ou à la poursuite de soins, impacts sur la vie familiale, socio-professionnelle, mise en échec de l’accompagnement, etc.).

Elle permet de croiser les regards, les expertises et de rechercher des solutions permettant de lever les freins rencontrés, en veillant au secret médical, au secret professionnel et aux droits de la personne. 

Elle favorise l’échange en permettant une dimension préventive des situations et une coordination entre les différents acteurs.

Les Cellules de Veille Pluridisciplinaires auront lieu une fois tous les deux mois, dans les locaux du GHEF de Meaux, au sein du Service Psychiatrie
";"Les professionnels souhaitant présenter la situation d’un usager doivent remplir la fiche de saisine dédiée (modèle en annexe I de la présente Charte) et la transmettre à :
- Elodie GUILBEAU, Responsable du pôle social logement et Assistante Sociale de formation, au sein de la Direction des Solidarités de la Ville de Meaux, par mail : elodie.guilbeau@meaux.fr + copie à sa secrétaire : nadege.gerard@meaux.fr).

La direction des Solidarités de la Ville de Meaux recueille entre chaque réunion les fiches de saisine, nécessaires à l’accompagnement de la personne et les notifie dans des dossiers individuels stockés informatiquement dans un espace sécurisé (Logiciel SONATE avec utilisation d’une licence nominative).

Les membres permanents recevront la liste des situations qui seront évoquées, afin de pouvoir vérifier si les personnes bénéficient déjà d’un accompagnement ou sont connues au sein de leur institution. 
";6/5/2024 11:55am;Ressource spécialisée, Psychiatrie;;;;
Cancer : Maintien et retour à l'emploi - Guide INCa;2;"Cancer 
Emploi - Travail
INCa";;Julie LANGLAIS;"La survenue d’un cancer peut avoir de fortes répercussions sur votre vie, y compris professionnelle.
Des dispositifs pour le maintien et le retour à l’emploi existent.";"Les professionnels souhaitant présenter la situation d’un usager doivent remplir la fiche de saisine dédiée (modèle en annexe I de la présente Charte) et la transmettre à :
- Elodie GUILBEAU, Responsable du pôle social logement et Assistante Sociale de formation, au sein de la Direction des Solidarités de la Ville de Meaux, par mail : elodie.guilbeau@meaux.fr + copie à sa secrétaire : nadege.gerard@meaux.fr).

La direction des Solidarités de la Ville de Meaux recueille entre chaque réunion les fiches de saisine, nécessaires à l’accompagnement de la personne et les notifie dans des dossiers individuels stockés informatiquement dans un espace sécurisé (Logiciel SONATE avec utilisation d’une licence nominative).

Les membres permanents recevront la liste des situations qui seront évoquées, afin de pouvoir vérifier si les personnes bénéficient déjà d’un accompagnement ou sont connues au sein de leur institution. 
";13/5/2024 12:29pm;Ressource spécialisée, Cancérologie;2024_-_Guide_INCA_-_Cancer_-_Maintien_et_retour_a_lemploir.pdf (https://airtable.com/appw21X5WptSgEidh/tbldc8HAccuWcXbga/recwkZeHLD3OeOBf7/fldiD8jFMadIFZbK2/attFkzO33x4i7MKGA);;;
Consultation Gériatrique Programmée Rapide - GHEF;3;CGPR / Gériatrie / GHEF / Consultation ;;Julie LANGLAIS;"La CGPR offre une approche innovante et réactive.
Elle constitue une solution ambulatoire dédiée à la prise en charge des personnes âgées, conçue pour optimiser l'accessibilité aux soins gériatriques et prévenir les passages aux urgences. 
Cette consultation propose une évaluation spécialisée et des interventions ciblées, permettant de fluidifier le parcours patient.";"Contacts :
Secrétariat :
Tel. : 01 61 10 66 22
Fax : 01 61 10 72 13
Mail : secremg-cgpr.mlv@ghef.fr";13/5/2024 3:35pm;Gériatrie, Ressource spécialisée;CR_Rencontre_CGPR_-_16.02.24.pdf (https://airtable.com/appw21X5WptSgEidh/tbldc8HAccuWcXbga/recpHc3qSZlTbH8N6/fldiD8jFMadIFZbK2/attRNbAteJwhKaw9s), Triptyque_CGPR.pdf (https://airtable.com/appw21X5WptSgEidh/tbldc8HAccuWcXbga/recpHc3qSZlTbH8N6/fldiD8jFMadIFZbK2/attVUv2Y1Sc6xVo2G);;;
EHPAD Hors les Murs - Au fil des berges - LNA Santé;4;EHPAD / Hors les murs / Domicile / Gériatrie / Personne âgée;;Julie LANGLAIS;"Installé au sein de la résidence Les Berges du Danube, notre Ehpad Hors les Murs, Au fil des Berges, s’appuie sur les services à domicile de proximité, afin d’être le point de repère du parcours de vie à domicile de la personne âgée. Ce projet de services renforcés à domicile est un dispositif gratuit mis en œuvre dans le cadre d’une expérimentation financée et pilotée par l’ARS Île-de-France.

UN ACCOMPAGNEMENT AU DOMICILE ADAPTÉ, COORDONNÉ ET SÉCURISÉ 24H/24
- Mise en place d’un pôle de coordination qui centralise, coordonne et trace les interventions
- Respect du souhait des usagers quant à leur prise en charge : maintien au domicile, aménagement du lieu de vie...
- Sécurisation du domicile la nuit : téléassistance et déplacement d’un professionnel en cas de besoin
- Préservation du lien aidant/aidé tout en rompant l’isolement et en créant (ou recréant) du lien social : activités et sorties proposées par les Ehpad ou les associations seniors de la ville
- Limitation des risques iatrogéniques et favorisation d’une prise en charge non médicamenteuse
- Aide de l’aidant dans le cadre de ses démarches administratives
- Accompagnement de l’aidant et de l’aidé tout au long de la maladie (ETP)

UNE CHAMBRE D'URGENCE
Une chambre d’urgence est accessible 24h/24 permettant de faire face à :
- Soutien du proche aidant (hospitalisation, épuisement,...)
- La sortie d’hospitalisation du bénéficiaire
";"Ce dispositif gratuit, financé par l’ARS Île-de-France, s’adresse à toute personne âgée dépendante, de plus de 60 ans qui manifeste des premiers signes de pertes d’autonomie et qui souhaite rester à son domicile le plus longtemps possible.

Téléphone : 01 64 17 46 58";13/5/2024 3:50pm;Gériatrie, Ressource spécialisée;Communes_dintervention_EHPAD_Hors_les_Murs.pdf (https://airtable.com/appw21X5WptSgEidh/tbldc8HAccuWcXbga/recIRZ8HRYtMyWFMj/fldiD8jFMadIFZbK2/attMlwskP6HKbCrWw), Flyer_EHPAD_Hors_les_Murs_LNA.pdf (https://airtable.com/appw21X5WptSgEidh/tbldc8HAccuWcXbga/recIRZ8HRYtMyWFMj/fldiD8jFMadIFZbK2/attgaDXimumBCCKEI), Presentation_EHLM.pptx (https://airtable.com/appw21X5WptSgEidh/tbldc8HAccuWcXbga/recIRZ8HRYtMyWFMj/fldiD8jFMadIFZbK2/attHN1h4ZVWHvfTrs);;;
Information et Soutien Tuteurs Familiaux;5;"Tutelle
Tuteurs Familiaux
Information";;Solène;"L'ATSM 77 propose des temps d'information à destination des tuteurs familiaux (tuteur, curatelle, habilitation familiale) sur divers sujets : Droits & obligations
Inventaire de patrimoine
Gestion des comptes bancaires
Compte rendu de gestion
Ouverture de droits
Services et partenaires sociaux et médicosociaux
du secteur
Relations avec les tribunaux : quand et
comment solliciter le Juge des tutelles ?
Conflit d’intérêt
Renouvellement de la mesure de protection
Modification du mandat
Fin du mandat";;4/6/2024 11:31am;Autre;ATSM77_-_Plaquette_Information_Soutien_Tuteurs_familiaux.pdf (https://airtable.com/appw21X5WptSgEidh/tbldc8HAccuWcXbga/recGoLVDTSTIXfP08/fldiD8jFMadIFZbK2/attswm7MbRH0aRmFL);;;
Transports de proximité - JYVAIS -;6;Transport- mobilité - SNCF - Pays de l'Ourcq - Pays de Meaux - proximité -;;Julie ;"Une expérimentation de transport à la demande partagé en Pays de Meaux & Pays de l'Ourcq, tous les jours de mai à octobre 2024.

JYVAIS est une expérimentation innovante de transport à la demande partagé pour se déplacer sur le Pays de Meaux et le Pays de l’Ourcq, testée de mai à octobre 2024. Conçue spécialement pour les territoires peu denses et portée par SNCF Tech4Mobility, cette expérimentation s’inscrit en complément de l’offre de transport public du territoire afin de faciliter les déplacements du quotidien vers les services publics, les commerces, les gares, les loisirs, les événements et la base olympique de Vaires-sur-Marne via la ligne P de Transilien. Grâce à JYVAIS, voyagez là où les transports ne vont pas à partir de 2€ par personne et par trajet.";Information : https://city.ridewithvia.com/jyvais_sncf;20/6/2024 9:44am;Autre;Liste_des_lieux_de_proximite_CAPM__CCPO_avec_bandeau.pdf (https://airtable.com/appw21X5WptSgEidh/tbldc8HAccuWcXbga/recxfFbntzN8bQtRW/fldiD8jFMadIFZbK2/att6SyxImmtOGnbTb);;;
PAM Francilien;7;Transport - mobilité - inclusion;;Julie LANGLAIS;"Le service Pam est un service public de transport à la demande spécialisé et collectif qui a pour but de faciliter les déplacements des personnes à mobilité réduite, handicapées ou dépendantes.

Le service Pam réalise les transports entre 2 lieux situés sur la voie publique. Le conducteur-accompagnateur vient chercher, prend en charge, et dépose l'usager sur l'espace public.

Le service Pam francilien est disponible :

Tous les jours de la semaine 
Toute l’année
De 6h à minuit
De 6h à 00h30 les vendredis et samedis
Les transports se font dans toute l'Île-de-France pour un trajet de plus de 500 mètres.";"https://pam.iledefrance-mobilites.fr/cgu

";20/6/2024 3:58pm;Autre;101ac643-247-Guide-utilisateur-Pam-francilien-VF.pdf (https://airtable.com/appw21X5WptSgEidh/tbldc8HAccuWcXbga/recfE7XIMpF6mPAdf/fldiD8jFMadIFZbK2/attGnsovSL0AbJnYd);;;
Appartements d'insertion APF ;8;Handicap/inclusion/logement autonome ;;Maud BEGEL;"11 appartements de transition locatifs destinés aux adultes en situation de handicap moteur. Logements de type F2 adaptés PMR diffus dans la ville de Brie C/Robert, gérés par un bailleur social. 

Structure labelisée foyer de vie APF. Le loyer demandé est de 25% du montant de l'AAH avec Aide Sociale à l'Hébergement et APL perçu par le foyer. 
Les charges courantes sont supportées par le locataire comme dans toute location du droit commun. 
Obligation pour la personne en situation de handicap de se soumettre à l'accompagnement éducatif (RDV réguliers avec les éducateurs) et les temps de regroupement à l'accueil de jour du pôle adulte (1 à 2 fois/semaine). 
Pas de cumul possible avec une prise en charge SAVS SAMSAH. La personne doit être relativement autonome dans la gestion de son parcours de soins. L'acquisition de l'autonomie dans le quotidien (gestion démarches administratives, repas, courses, vie sociale et projets professionnels) est travaillée progressivement. L'objectif est de travailler le projet de vie et d'insertion. La prise en charge au sein de ces appartements est d'une durée de 1 à 6 ans. 
Il n'y a pas de critère d'autonomie, il faut que le handicap ne nécessite pas de prise en charge médicale soutenue/continue et que les besoins de compensations soient couverts. 
Pas de prise en charge PCH aide humaine cumulable, le FV prend en charge les aides humaines (partenariat avec un service d'aide à domicile), définit les besoins à l'admission et les réajuste. 
L'accueil permanent d'enfants au domicile est impossible. Possibilité d'accueil le WE et de manière occasionnelle possible si anticipé.  
Système de téléassistance Europ assistance obligatoire: les personnes à prévenir sont le personnel du FV en semaine et le FAM APF de Combs la ville le soir, nuit et le WE. 
 ";"Nécessité d'une orientation MDPH foyer de vie. 
1 appartement est dédié aux périodes de stage pour essai : durée 15j à 1 mois (sans notification). 
";28/6/2024 11:37am;Handicap ;appartements_dinsertion_APF.pdf (https://airtable.com/appw21X5WptSgEidh/tbldc8HAccuWcXbga/recXi51wFS9rO8Xyu/fldiD8jFMadIFZbK2/attCTBIAqJPYEBkCu), Accueil_de_jour_APF.pdf (https://airtable.com/appw21X5WptSgEidh/tbldc8HAccuWcXbga/recXi51wFS9rO8Xyu/fldiD8jFMadIFZbK2/attqxiPhY9GejwznZ);;;
Annuaire DAC - Ile de France;9;"DAC
Dispositif d'appui à la coordination
Annuaire";;Julie LANGLAIS;"Annuaire des DAC d'Ile de France en PJ 
Carte des DAC en fonction des villes : https://facs-idf.fr/carte-des-dac-en-ile-de-france/ ";;5/7/2024 10:42am;Ressource spécialisée;Annuaire-DAC.pdf (https://airtable.com/appw21X5WptSgEidh/tbldc8HAccuWcXbga/receXpiNDHLsvREzZ/fldiD8jFMadIFZbK2/attkafgQbTVjDqWpW);;;
Mon soutien psy - Dispositif CPAM;10;"soutien
psychologie
psychologique
CPAM";;Julie LANGLAI;Le dispositif Mon soutien psy permet à toute personne (dès 3 ans) angoissée, déprimée ou en souffrance psychique, de bénéficier de séances d’accompagnement psychologique avec une prise en charge par l’Assurance Maladie. ;Informations, modalités de prise en charge : https://www.ameli.fr/assure/remboursements/rembourse/remboursement-seance-psychologue-mon-soutien-psy ;10/7/2024 3:44pm;Ressource spécialisée;;;;
