AMILLIS;AMILLIS;CRT Les Champs;PAT Coulommiers;;MDS Coulommiers;"HAD LNA Santé 
HAD Santé Service
HAD Croix-Saint-Simon
HAD R Coubert 
HAD R LNA ";Centre 77;GHEF Coulommiers;;EHPAD Résidence de l'Aubetin;;;La Ferté Gaucher;EPG Tournan ;;"EMPP
EMRR - Nord 77
Equipe mobile CADENCE";;"AMAU SERVICES - AGE D'OR SERVICES -  AGENCE DE MEAUX
A2MICILE- DOMALIANCE MELUN 
BIENVIVRADOM
DOMIDOM MEAUX
CENTRE 77
ADMR DE CHOISY-EN-BRIE";;;"DOMALIANCE MELUN
DOMIDOM MEAUX";"DOMALIANCE MELUN
DOMIDOM MEAUX"
ANNET-SUR-MARNE;ANNET-SUR-MARNE;CRT de Chelles;PAT Meaux;;MDS Mitry;"HAD LNA Santé 
HAD Santé Service
HAD Croix-Saint-Simon
HAD R Coubert 
HAD R LNA ";La Croix Rouge - Jouarre;GHEF Meaux;;EHPAD Le Château de Louche;;;Tandem;Le Nids des Aidants ;;"EMPP
EMRR - Nord 77
Equipe mobile CADENCE";;"Z'AIDES SERVICES LAGNY
BIENVIVRADOM
AIDOM EXPERT - ADESSA
CENTRE 77
AD HUMAN SERVICES
AIDE ET SERVICES À DOMICILE CHELLES
AMAU SERVICES - AGE D'OR SERVICES -  AGENCE DE MEAUX";;;"AIDE ET SERVICE A DOMICILE CHELLES
AIDOM EXPERT - ADESSA";"AIDE ET SERVICE A DOMICILE CHELLES
AIDOM EXPERT - ADESSA
AMELIS LAGNYS-SUR-MARNE"
ARMENTIERES-EN-BRIE;ARMENTIERES-EN-BRIE;CRT Les Champs;PAT Meaux;;MDS Lagny;"HAD LNA Santé 
HAD Santé Service
HAD Croix-Saint-Simon
HAD R Coubert 
HAD R LNA ";La Croix Rouge - Jouarre;GHEF Meaux;;;;;La Croix-rouge - Jouarre;Le Nids des Aidants ;;"EMPP
EMRR - Nord 77
Equipe mobile CADENCE";;"BIENVIVRADOM
DOMIDOM MEAUX";;;DOMIDOM MEAUX;DOMIDOM MEAUX
AULNOY;AULNOY;CRT Les Champs;PAT Coulommiers;;MDS Coulommiers;"HAD LNA Santé 
HAD Santé Service
HAD Croix-Saint-Simon
HAD R Coubert 
HAD R LNA ";Centre 77;GHEF Coulommiers;;;;;Centre 77 - Coulommiers;EPG Tournan ;;"EMPP
EMRR - Nord 77
Equipe mobile CADENCE";;"ISADOM- SENIOR COMPAGNIE
ADMR DE L'AUBETIN (ASSOCIATION MULTISERVICES INTERCOMMUNALE DE LA BRIE)
CENTRE 77
AMAU SERVICES - AGE D'OR SERVICES -  AGENCE DE MEAUX
A2MICILE- DOMALIANCE MELUN 
VYV3
BIENVIVRADOM";;;"DOMALIANCE MELUN
ADMR DE L'AUBETIN";"DOMALIANCE MELUN
ADMR DE L'AUBETIN"
BAILLY-ROMAINVILLIERS;BAILLY-ROMAINVILLIERS;CRT Val d'Europe;PAT Lagny;;MDS Lagny;"HAD LNA Santé 
HAD Santé Service
HAD Croix-Saint-Simon
HAD R Coubert 
HAD R LNA ";Tandem;GHEF Jossigny;;;;;Tandem;EPG Tournan ;CCAS Bailly-Romainvilliers;"EMPP
EMRR - Nord 77
Equipe mobile CADENCE";;"RESIDENCE ÉTUDES / SÉNIOR LA GIRANDIÈRE LE CLOS BAILLY
ONELA- BIEN A LA MAISON CHAMPS-SUR-MARNE
JARDIN DES MERVEILLES (JDM SERVICES)
AMRE - ÂGE D'OR SERVICES - AGENCE DE  TOURNAN EN BRIE/MELUN
A2MICILE- DOMALIANCE MELUN 
Z'AIDES SERVICES LAGNY
VYV3
AIDOM EXPERT - ADESSA
BIENVIVRADOM
DOMIDOM MEAUX
DELTA MULTI SERVICES ASSISTANCE -COVIVA DMSA";;;"AIDOM EXPERT - ADESSA
ONELA- BIEN A LA MAISON CHAMPS-SUR-MARNE
DOMALIANCE MELUN
DOMIDOM MEAUX
DOMUSVI DOMICILE COUPVRAY";"AIDOM EXPERT - ADESSA
ONELA- BIEN A LA MAISON CHAMPS-SUR-MARNE
DOMALIANCE MELUN
DOMIDOM MEAUX
DOMUSVI DOMICILE COUPVRAY
AMELIS LAGNYS-SUR-MARNE"
BARCY;BARCY;CRT Val d'Europe;PAT Meaux;;MDS Meaux;"HAD LNA Santé 
HAD Santé Service
HAD Croix-Saint-Simon
HAD R Coubert 
HAD R LNA ";La Croix Rouge - Jouarre;GHEF Meaux;;;;;Pays de Meaux;Le Nids des Aidants ;;"EMPP
EMRR - Nord 77
Equipe mobile CADENCE";;"AIDE ET SERVICES À DOMICILE CHELLES
Z'AIDES SERVICES LAGNY
AMAU SERVICES - AGE D'OR SERVICES -  AGENCE DE MEAUX
BIENVIVRADOM
DOMIDOM MEAUX
ISADOM- SENIOR COMPAGNIE
MULTI SERVICES A DOMICILE
AVEC - EX AMAPA MEAUX
CENTRE 77";;;"AIDE ET SERVICE A DOMICILE CHELLES
DOMIDOM MEAUX";"AIDE ET SERVICE A DOMICILE CHELLES
DOMIDOM MEAUX"
BASSEVELLE;BASSEVELLE;CRT Les Champs;PAT Meaux;;MDS Coulommiers;"HAD LNA Santé 
HAD Santé Service
HAD Croix-Saint-Simon
HAD R Coubert 
HAD R LNA ";La Croix Rouge - Jouarre;GHEF Meaux;;;;;La Croix-rouge - Jouarre;Le Nids des Aidants ;;"EMPP
EMRR - Nord 77
Equipe mobile CADENCE";;"AMAU SERVICES - AGE D'OR SERVICES -  AGENCE DE MEAUX
MV SERVICES 
BIENVIVRADOM
ISADOM- SENIOR COMPAGNIE
CENTRE 77";;;;
BEAUTHEIL SAINTS;BEAUTHEIL-SAINTS;CRT Les Champs;PAT Coulommiers;;MDS Coulommiers;"HAD LNA Santé 
HAD Santé Service
HAD Croix-Saint-Simon
HAD R Coubert 
HAD R LNA ";Centre 77;GHEF Coulommiers;;;;;Centre 77 - Coulommiers;EPG Tournan ;;"EMPP
EMRR - Nord 77
Equipe mobile CADENCE";;"AMAU SERVICES - AGE D'OR SERVICES -  AGENCE DE MEAUX
A2MICILE- DOMALIANCE MELUN 
VYV3
BIENVIVRADOM
DOMIDOM MEAUX
ISADOM- SENIOR COMPAGNIE
ADMR DE L'AUBETIN (ASSOCIATION MULTISERVICES INTERCOMMUNALE DE LA BRIE)
CENTRE 77
DOMI'ANGE
""VITALLIANCE MELUN
AMRE - ÂGE D'OR SERVICES - AGENCE DE  TOURNAN EN BRIE/MELUN
A2MICILE- DOMALIANCE MELUN 
Z'AIDES SERVICES LAGNY
MARNE ET GONDOIRE ADENIOR
AIDOM EXPERT - ADESSA
BIENVIVRADOM
DOMIDOM MEAUX
AD HUMAN SERVICES 
DELTA MULTI SERVICES ASSISTANCE -COVIVA DMSA
AVENIR SERVICES
ONELA- BIEN A LA MAISON CHAMPS-SUR-MARNE
JARDIN DES MERVEILLES (JDM SERVICES)
GREENASSISTANCE
TANDEM (ex UNA'DOM)
HESTIA DOMICILE
AS DES SERVICES ""
";;;"DOMALIANCE MELUN
DOMIDOM MEAUX
ADMR DE L'AUBETIN";"DOMALIANCE MELUN
DOMIDOM MEAUX
ADMR DE L'AUBETIN"
BELLOT;BELLOT;CRT Les Champs;PAT Coulommiers;;MDS Coulommiers;"HAD LNA Santé 
HAD Santé Service
HAD Croix-Saint-Simon
HAD R Coubert 
HAD R LNA ";Centre 77;GHEF Coulommiers;;;;;Centre 77 - Rebais;Le Nids des Aidants ;;"EMPP
EMRR - Nord 77
Equipe mobile CADENCE";;"A2MICILE- DOMALIANCE MELUN 
BIENVIVRADOM
DOMIDOM MEAUX
ISADOM- SENIOR COMPAGNIE
CENTRE 77
ADMR DE CHOISY-EN-BRIE
AMAU SERVICES - AGE D'OR SERVICES -  AGENCE DE MEAUX";;;"DOMALIANCE MELUN
DOMIDOM MEAUX";"DOMALIANCE MELUN
DOMIDOM MEAUX"
BERNAY-VILBERT;BERNAY-VILBERT;CRT Les Champs;PAT Coulommiers;;MDS Tournan;"HAD LNA Santé 
HAD Santé Service
HAD Croix-Saint-Simon
HAD R Coubert 
HAD R LNA ";Centre 77;GHEF Coulommiers;;;;;Centre 77 - Rozay-en-Brie;EPG Tournan ;;"EMPP
EMRR - Nord 77
Equipe mobile CADENCE";;"CENTRE 77
AMRE - ÂGE D'OR SERVICES - AGENCE DE  TOURNAN EN BRIE/MELUN
A2MICILE- DOMALIANCE MELUN ";;;DOMALIANCE MELUN;DOMALIANCE MELUN
